Date,Max Temp (c),Min Temp (c),Percipitation (mm),Max Wind Speed (Km/h)
2024-05-01,11.0,6.7,4.7,13.7
2024-05-02,22.8,6.1,1.9,23.6
2024-05-03,13.3,6.3,0.0,16.1
2024-05-04,11.1,6.4,0.0,18.7
2024-05-05,14.6,7.2,6.4,16.2
2024-05-06,23.5,9.3,1.8,14.3
2024-05-07,21.9,11.2,0.0,15.7
2024-05-08,18.8,10.7,25.3,12.0
2024-05-09,17.5,8.7,0.0,21.6
2024-05-10,12.2,7.6,0.6,19.9
2024-05-11,11.3,4.7,0.7,20.2
2024-05-12,14.2,4.4,0.2,10.7
2024-05-13,17.3,6.0,0.3,17.9
2024-05-14,24.2,9.4,0.0,22.3
2024-05-15,21.8,13.9,4.4,15.7
2024-05-16,15.8,11.5,32.7,25.8
2024-05-17,19.8,10.2,0.0,21.1
2024-05-18,13.9,11.4,14.9,16.1
2024-05-19,14.1,11.2,1.6,21.2
2024-05-20,17.0,9.7,0.0,17.0
2024-05-21,29.1,11.2,0.5,14.1
2024-05-22,30.5,15.4,0.0,20.3
2024-05-23,27.5,17.1,3.6,17.8
2024-05-24,28.9,13.8,0.0,25.9
2024-05-25,24.7,12.6,0.0,15.4
2024-05-26,23.6,14.5,0.4,16.7
2024-05-27,22.4,15.2,4.2,24.2
2024-05-28,27.8,17.6,10.2,23.4
2024-05-29,24.4,14.6,0.2,13.1
2024-05-30,15.7,12.1,20.6,20.8
2024-05-31,23.2,9.8,0.0,17.8
2024-06-01,26.1,10.4,0.0,15.5
2024-06-02,27.9,10.5,0.0,13.0
2024-06-03,24.6,15.2,0.0,17.7
2024-06-04,20.9,12.9,0.0,18.2
2024-06-05,30.0,14.1,0.0,19.5
2024-06-06,23.5,16.6,3.6,19.6
2024-06-07,26.1,16.9,1.8,14.8
2024-06-08,24.2,14.4,0.1,26.9
2024-06-09,20.7,15.0,8.1,18.0
2024-06-10,24.3,13.4,0.0,18.9
2024-06-11,22.3,12.5,0.6,12.7
2024-06-12,23.7,12.9,0.6,13.1
2024-06-13,27.6,14.0,0.0,23.1
2024-06-14,28.9,18.4,10.4,19.4
2024-06-15,24.0,16.0,1.9,19.7
2024-06-16,21.1,10.8,0.0,15.3
2024-06-17,27.1,13.2,0.0,21.5
2024-06-18,34.2,18.9,0.0,18.8
2024-06-19,35.6,21.0,0.4,23.0
2024-06-20,35.3,21.8,0.2,16.0
2024-06-21,29.0,18.3,6.8,17.6
2024-06-22,22.4,17.2,1.6,14.0
2024-06-23,31.5,17.1,2.4,28.3
2024-06-24,27.2,18.6,0.4,24.2
2024-06-25,31.5,16.8,15.3,22.3
2024-06-26,31.6,21.3,1.4,21.9
2024-06-27,27.7,18.3,10.3,22.5
2024-06-28,24.1,13.5,0.0,17.5
2024-06-29,24.5,15.0,3.7,25.0
2024-06-30,31.5,21.2,9.9,25.3
2024-07-01,25.0,18.5,19.2,20.7
2024-07-02,26.3,15.8,0.0,15.5
2024-07-03,27.7,15.4,0.0,21.6
2024-07-04,32.1,17.5,0.1,16.8
2024-07-05,30.4,20.9,1.4,17.6
2024-07-06,29.2,22.6,4.4,27.2
2024-07-07,31.1,22.4,0.0,14.2
2024-07-08,33.4,20.6,0.0,16.8
2024-07-09,31.3,22.8,2.4,21.6
2024-07-10,32.9,23.6,0.0,25.8
2024-07-11,32.7,24.0,1.1,30.1
2024-07-12,30.7,21.8,2.1,22.9
2024-07-13,27.0,22.8,12.9,20.0
2024-07-14,32.9,21.0,0.0,15.3
2024-07-15,35.7,21.7,4.7,21.2
2024-07-16,35.5,23.6,0.4,25.2
2024-07-17,33.7,22.4,3.1,21.3
2024-07-18,31.1,21.9,6.1,18.9
2024-07-19,27.9,17.6,0.0,18.5
2024-07-20,30.4,17.6,0.0,24.3
2024-07-21,29.2,20.5,0.7,14.5
2024-07-22,27.1,18.6,0.1,15.8
2024-07-23,24.8,20.4,5.0,11.4
2024-07-24,22.0,18.8,1.7,13.4
2024-07-25,27.1,19.0,4.3,18.4
2024-07-26,29.2,17.2,0.0,18.2
2024-07-27,29.8,16.7,0.0,17.3
2024-07-28,27.2,17.0,5.8,15.0
2024-07-29,25.2,18.2,10.8,17.5
2024-07-30,30.4,19.8,0.4,20.9
2024-07-31,27.9,22.1,2.1,26.2
2024-08-01,32.8,21.8,0.0,14.8
2024-08-02,32.4,20.8,1.4,15.5
2024-08-03,32.8,23.7,0.7,20.1
2024-08-04,30.3,22.9,11.9,18.6
2024-08-05,31.4,20.9,0.0,17.8
2024-08-06,24.6,18.4,5.6,17.9
2024-08-07,20.9,16.4,18.4,13.7
2024-08-08,21.7,14.0,3.1,16.9
2024-08-09,28.4,18.2,6.9,32.0
2024-08-10,29.9,21.0,4.0,25.5
2024-08-11,28.3,17.2,0.0,20.8
2024-08-12,25.2,16.1,1.7,17.7
2024-08-13,27.7,15.2,0.0,15.6
2024-08-14,27.3,16.5,0.0,10.1
2024-08-15,27.3,16.9,1.7,9.4
2024-08-16,24.4,17.5,0.0,18.4
2024-08-17,23.3,16.8,0.0,19.2
2024-08-18,23.8,17.0,2.4,19.1
2024-08-19,24.9,19.2,12.4,11.6
2024-08-20,21.4,14.7,1.0,20.2
2024-08-21,22.0,12.6,2.1,13.7
2024-08-22,22.8,12.1,0.0,16.2
2024-08-23,26.5,13.9,0.0,17.2
2024-08-24,27.7,15.4,0.0,10.1
2024-08-25,27.8,15.4,0.0,10.2
2024-08-26,24.2,16.2,3.4,10.7
2024-08-27,25.4,15.9,0.1,14.5
2024-08-28,32.3,19.8,0.3,24.4
2024-08-29,21.0,15.8,0.0,17.6
2024-08-30,21.2,13.0,0.0,17.6
2024-08-31,27.7,14.6,0.0,16.1
